Fecha,Isla,Temporada,Nidos_activos_por_visita,Notas
01/Ene/2004,Alcatraz,2003,NA,Sin datos en esta temporada
01/Ene/2005,Alcatraz,2004,NA,Sin datos en esta temporada
01/Ene/2007,Alcatraz,2006,NA,Sin datos en esta temporada
01/Ene/2008,Alcatraz,2007,NA,Sin datos en esta temporada
01/Ene/2009,Alcatraz,2008,NA,Sin datos en esta temporada
01/Ene/2015,Bledos,2014,NA,No usar
01/Ene/2016,Bledos,2015,NA,No usar
05/Oct/2000,Alcatraz,2000,353,NA
12/Oct/2000,Alcatraz,2000,547,NA
17/Oct/2000,Alcatraz,2000,592,NA
25/Oct/2000,Alcatraz,2000,537,NA
03/Nov/2000,Alcatraz,2000,571,NA
12/Nov/2000,Alcatraz,2000,564,NA
28/Nov/2000,Alcatraz,2000,1037,NA
12/Dic/2000,Alcatraz,2000,1220,NA
02/Ene/2001,Alcatraz,2000,1225,NA
08/Mar/2001,Alcatraz,2000,496,NA
07/Abr/2001,Alcatraz,2000,61,NA
12/Sep/2001,Alcatraz,2001,324,NA
23/Sep/2001,Alcatraz,2001,649,NA
07/Oct/2001,Alcatraz,2001,1091,NA
25/Oct/2001,Alcatraz,2001,1088,NA
30/Oct/2001,Alcatraz,2001,683,NA
04/Nov/2001,Alcatraz,2001,538,NA
07/Nov/2001,Alcatraz,2001,513,NA
14/Nov/2001,Alcatraz,2001,643,NA
24/Nov/2001,Alcatraz,2001,722,NA
29/Nov/2001,Alcatraz,2001,1093,NA
13/Dic/2001,Alcatraz,2001,801,NA
12/Ene/2002,Alcatraz,2001,1039,NA
19/Ene/2002,Alcatraz,2001,1034,NA
17/Feb/2002,Alcatraz,2001,837,NA
23/Feb/2002,Alcatraz,2001,607,NA
28/Feb/2002,Alcatraz,2001,548,NA
04/Mar/2002,Alcatraz,2001,391,NA
19/Mar/2002,Alcatraz,2001,109,NA
01/Abr/2002,Alcatraz,2001,11,NA
27/Oct/2002,Alcatraz,2002,1075,NA
02/Nov/2002,Alcatraz,2002,971,NA
07/Nov/2002,Alcatraz,2002,1020,NA
24/Nov/2002,Alcatraz,2002,1510,NA
30/Nov/2002,Alcatraz,2002,1683,NA
08/Dic/2002,Alcatraz,2002,1628,NA
24/Ene/2003,Alcatraz,2002,949,NA
29/Ene/2003,Alcatraz,2002,263,NA
22/Feb/2003,Alcatraz,2002,4,NA
22/Oct/2005,Alcatraz,2005,583,No usar
05/Nov/2005,Alcatraz,2005,817,No usar
31/Ene/2006,Alcatraz,2005,275,No usar
16/Mar/2006,Alcatraz,2005,342,No usar
25/Abr/2006,Alcatraz,2005,43,No usar
15/Oct/2009,Alcatraz,2009,527,NA
26/Oct/2009,Alcatraz,2009,801,NA
09/Nov/2009,Alcatraz,2009,937,NA
23/Nov/2009,Alcatraz,2009,991,NA
01/Dic/2009,Alcatraz,2009,1291,NA
17/Dic/2009,Alcatraz,2009,1394,NA
13/Ene/2010,Alcatraz,2009,858,NA
29/Ene/2010,Alcatraz,2009,50,NA
07/Oct/2010,Alcatraz,2010,447,NA
14/Oct/2010,Alcatraz,2010,652,NA
21/Oct/2010,Alcatraz,2010,1004,NA
25/Oct/2010,Alcatraz,2010,1054,NA
09/Nov/2010,Alcatraz,2010,1334,NA
18/Nov/2010,Alcatraz,2010,1556,NA
02/Dic/2010,Alcatraz,2010,1968,NA
10/Dic/2010,Alcatraz,2010,1782,NA
17/Ene/2011,Alcatraz,2010,478,NA
25/Ene/2011,Alcatraz,2010,192,NA
16/Feb/2011,Alcatraz,2010,44,NA
06/Sep/2011,Alcatraz,2011,0,NA
28/Sep/2011,Alcatraz,2011,290,NA
15/Oct/2011,Alcatraz,2011,691,NA
26/Oct/2011,Alcatraz,2011,714,NA
14/Nov/2011,Alcatraz,2011,1048,NA
25/Nov/2011,Alcatraz,2011,1544,NA
05/Dic/2011,Alcatraz,2011,1298,NA
12/Dic/2011,Alcatraz,2011,888,NA
09/Ene/2012,Alcatraz,2011,528,NA
18/Ene/2012,Alcatraz,2011,243,NA
26/Ene/2012,Alcatraz,2011,193,NA
02/Feb/2012,Alcatraz,2011,167,NA
16/Feb/2012,Alcatraz,2011,246,NA
28/Feb/2012,Alcatraz,2011,286,NA
14/Mar/2012,Alcatraz,2011,206,NA
29/Mar/2012,Alcatraz,2011,59,NA
19/Abr/2012,Alcatraz,2011,13,NA
18/Sep/2012,Alcatraz,2012,21,NA
10/Feb/2012,Alcatraz,2011,571,NA
24/Oct/2012,Alcatraz,2012,739,NA
05/Nov/2012,Alcatraz,2012,906,NA
20/Nov/2012,Alcatraz,2012,1158,NA
03/Dic/2012,Alcatraz,2012,1142,NA
12/Dic/2012,Alcatraz,2012,1468,NA
08/Ene/2013,Alcatraz,2012,1351,NA
23/Ene/2013,Alcatraz,2012,1083,NA
05/Feb/2013,Alcatraz,2012,699,NA
21/Feb/2013,Alcatraz,2012,439,NA
05/Mar/2013,Alcatraz,2012,173,NA
20/Mar/2013,Alcatraz,2012,98,NA
04/Abr/2013,Alcatraz,2012,22,NA
18/Sep/2013,Alcatraz,2013,27,NA
25/Sep/2013,Alcatraz,2013,174,NA
02/Oct/2013,Alcatraz,2013,430,NA
09/Oct/2013,Alcatraz,2013,605,NA
16/Oct/2013,Alcatraz,2013,465,NA
23/Oct/2013,Alcatraz,2013,452,NA
30/Oct/2013,Alcatraz,2013,423,NA
06/Nov/2013,Alcatraz,2013,314,NA
13/Nov/2013,Alcatraz,2013,228,NA
20/Nov/2013,Alcatraz,2013,162,NA
26/Nov/2013,Alcatraz,2013,88,NA
06/Dic/2013,Alcatraz,2013,109,NA
11/Dic/2013,Alcatraz,2013,281,NA
09/Ene/2014,Alcatraz,2013,506,NA
16/Ene/2014,Alcatraz,2013,406,NA
22/Ene/2014,Alcatraz,2013,406,NA
30/Ene/2014,Alcatraz,2013,265,NA
06/Feb/2014,Alcatraz,2013,82,NA
12/Feb/2014,Alcatraz,2013,19,NA
19/Feb/2014,Alcatraz,2013,9,NA
25/Sep/2014,Alcatraz,2014,42,NA
08/Oct/2014,Alcatraz,2014,191,NA
15/Oct/2014,Alcatraz,2014,188,NA
21/Oct/2014,Alcatraz,2014,279,NA
29/Oct/2014,Alcatraz,2014,244,NA
06/Nov/2014,Alcatraz,2014,733,NA
14/Nov/2014,Alcatraz,2014,537,NA
21/Nov/2014,Alcatraz,2014,834,NA
29/Nov/2014,Alcatraz,2014,639,NA
04/Dic/2014,Alcatraz,2014,627,NA
10/Dic/2014,Alcatraz,2014,679,NA
16/Dic/2014,Alcatraz,2014,844,NA
09/Ene/2015,Alcatraz,2014,857,NA
16/Ene/2015,Alcatraz,2014,667,NA
21/Ene/2015,Alcatraz,2014,509,NA
27/Ene/2015,Alcatraz,2014,169,NA
06/Feb/2015,Alcatraz,2014,66,NA
13/Feb/2015,Alcatraz,2014,22,NA
24/Sep/2015,Alcatraz,2015,5,NA
02/Oct/2015,Alcatraz,2015,47,NA
07/Oct/2015,Alcatraz,2015,68,NA
13/Oct/2015,Alcatraz,2015,349,NA
22/Oct/2015,Alcatraz,2015,543,NA
27/Oct/2015,Alcatraz,2015,551,NA
04/Nov/2015,Alcatraz,2015,744,NA
10/Nov/2015,Alcatraz,2015,907,NA
21/Nov/2015,Alcatraz,2015,1209,NA
25/Nov/2015,Alcatraz,2015,1090,NA
11/Dic/2015,Alcatraz,2015,1224,NA
14/Ene/2016,Alcatraz,2015,434,NA
23/Ene/2016,Alcatraz,2015,165,NA
27/Ene/2016,Alcatraz,2015,57,NA
03/Feb/2016,Alcatraz,2015,11,NA
04/Oct/2016,Alcatraz,2016,73,NA
21/Oct/2016,Alcatraz,2016,400,NA
24/Oct/2016,Alcatraz,2016,340,NA
02/Nov/2016,Alcatraz,2016,577,NA
08/Nov/2016,Alcatraz,2016,738,NA
15/Nov/2016,Alcatraz,2016,774,NA
29/Nov/2016,Alcatraz,2016,847,NA
09/Dic/2016,Alcatraz,2016,1184,NA
14/Dic/2016,Alcatraz,2016,1102,NA
05/Ene/2017,Alcatraz,2016,274,NA
13/Ene/2017,Alcatraz,2016,151,NA
18/Ene/2017,Alcatraz,2016,98,NA
04/Oct/2017,Alcatraz,2017,256,NA
11/Oct/2017,Alcatraz,2017,390,NA
20/Oct/2017,Alcatraz,2017,601,NA
24/Oct/2017,Alcatraz,2017,491,NA
03/Nov/2017,Alcatraz,2017,648,NA
10/Nov/2017,Alcatraz,2017,744,NA
15/Nov/2017,Alcatraz,2017,960,NA
22/Nov/2017,Alcatraz,2017,1032,NA
01/Dic/2017,Alcatraz,2017,1104,NA
05/Dic/2017,Alcatraz,2017,1041,NA
09/Ene/2018,Alcatraz,2017,382,NA
19/Ene/2018,Alcatraz,2017,233,NA
23/Ene/2018,Alcatraz,2017,150,NA
31/Ene/2018,Alcatraz,2017,119,NA
08/Feb/2018,Alcatraz,2017,100,NA
13/Feb/2018,Alcatraz,2017,94,NA
08/Mar/2018,Alcatraz,2017,61,NA
15/Mar/2018,Alcatraz,2017,43,NA
05/Oct/2018,Alcatraz,2018,358,NA
10/Oct/2018,Alcatraz,2018,434,NA
18/Oct/2018,Alcatraz,2018,329,NA
26/Oct/2018,Alcatraz,2018,408,NA
01/Nov/2018,Alcatraz,2018,479,NA
07/Nov/2018,Alcatraz,2018,402,NA
14/Nov/2018,Alcatraz,2018,597,NA
22/Nov/2018,Alcatraz,2018,626,NA
29/Nov/2018,Alcatraz,2018,780,NA
04/Dic/2018,Alcatraz,2018,828,NA
13/Dic/2018,Alcatraz,2018,842,NA
09/Ene/2019,Alcatraz,2018,232,NA
17/Ene/2019,Alcatraz,2018,189,NA
30/Ene/2019,Alcatraz,2018,105,NA
14/Feb/2019,Alcatraz,2018,86,NA
21/Feb/2019,Alcatraz,2018,91,NA
28/Feb/2019,Alcatraz,2018,49,NA
27/Ene/2012,Patos,2011,0,No usar
28/Feb/2012,Patos,2011,488,No usar
30/Mar/2012,Patos,2011,235,No usar
27/Abr/2012,Patos,2011,216,No usar
31/May/2012,Patos,2011,8,No usar
29/Jun/2012,Patos,2011,0,No usar
27/Jul/2012,Patos,2012,0,No usar
26/Oct/2012,Patos,2012,600,NA
30/Nov/2012,Patos,2012,1464,NA
14/Dic/2012,Patos,2012,1528,NA
25/Feb/2013,Patos,2012,388,NA
26/Abr/2013,Patos,2012,90,NA
24/May/2013,Patos,2012,289,NA
26/Jul/2013,Patos,2013,0,NA
31/Oct/2013,Patos,2013,484,NA
29/Nov/2013,Patos,2013,501,NA
13/Dic/2013,Patos,2013,1040,NA
28/Feb/2014,Patos,2013,174,NA
28/Mar/2014,Patos,2013,30,NA
18/Abr/2013,Patos,2012,100,NA
30/May/2013,Patos,2012,14,NA
25/Jul/2014,Patos,2014,0,NA
24/Oct/2014,Patos,2014,496,NA
21/Nov/2014,Patos,2014,990,Se perdió el pico de temporada en diciembre 2014
23/Ene/2015,Patos,2014,447,NA
